Date,Open,High,Low,Close,Adj Close,Volume,Dollar
13-01-2016,205.125046,206.962555,202.668793,204.937546,197.378983,1793783,66.46
14-01-2016,204.375046,206.212555,201.000046,204.468796,196.927521,2919332,66.46
15-01-2016,204.975052,205.818802,201.375046,203.662552,196.151031,1667087,66.46
18-01-2016,201.375046,206.550049,199.031296,205.181305,197.613724,4515961,66.46
19-01-2016,205.500046,207.000046,201.750046,203.250046,195.753708,2553140,66.46
20-01-2016,202.143799,206.962555,199.950043,203.456299,195.952347,3119055,66.46
21-01-2016,203.081299,208.125046,203.081299,206.550049,198.932007,4650132,66.46
22-01-2016,208.387558,208.387558,205.162552,206.287552,198.679184,2222631,66.46
25-01-2016,205.462555,206.175049,203.925049,205.143799,199.389938,2121412,66.46
27-01-2016,206.250046,208.106308,203.831299,207.206299,201.394592,5580259,66.46
28-01-2016,207.450058,207.637558,204.150055,205.218796,199.462799,3229764,66.46
29-01-2016,205.725052,212.137558,205.725052,211.050049,205.130524,3867287,66.46
01-02-2016,212.100052,215.212555,208.987549,213.056305,207.080505,4018593,66.46
02-02-2016,213.787552,214.331299,211.575058,212.718796,206.752457,3427580,66.46
03-02-2016,212.437546,212.437546,207.768799,209.175049,203.308105,1606738,66.46
04-02-2016,210.112549,210.618805,207.637558,209.981308,204.091736,2804991,66.46
05-02-2016,210.000046,212.175049,208.275055,209.212555,203.344559,2871047,66.46
08-02-2016,209.268799,210.075058,203.737549,204.375046,198.642746,2192375,66.46
09-02-2016,202.462555,202.462555,200.250046,201.093796,195.453522,2133962,66.46
10-02-2016,201.093796,201.243805,198.000046,199.200043,193.612869,2578687,66.46
11-02-2016,199.200043,199.612549,192.412552,193.950043,188.510132,2634738,66.46
12-02-2016,196.800049,198.543793,190.593796,193.987549,188.546585,4799310,66.46
15-02-2016,196.087555,197.850052,194.306305,197.156296,191.62645,2607162,66.46
16-02-2016,197.625046,198.937546,195.431305,197.475052,191.936249,1842943,66.46
17-02-2016,196.125046,198.731293,193.968796,197.606293,192.063828,2881855,66.46
18-02-2016,198.037552,203.925049,198.037552,202.987549,197.294159,2370186,66.46
19-02-2016,203.025055,206.062546,201.806305,205.256302,199.499268,2884268,66.46
22-02-2016,205.200058,205.537552,201.187546,203.531296,197.822632,2260498,66.46
23-02-2016,203.306305,203.887543,200.850052,202.481293,196.802094,2518436,66.46
24-02-2016,202.537552,203.343796,198.937546,200.231293,194.615189,2594660,66.46
25-02-2016,200.400055,202.031296,195.787552,200.193802,194.578751,2559524,66.46
26-02-2016,202.575043,203.212555,197.512543,198.937546,193.357742,2625287,66.46
29-02-2016,198.375046,199.443802,190.46254,195.093796,189.621796,5545641,66.46
01-03-2016,196.875046,202.125046,196.293793,200.793793,195.161926,4600724,66.46
02-03-2016,202.500046,203.193802,198.806305,202.331299,196.656342,4774230,66.46
03-03-2016,202.556305,205.668808,200.718796,203.512543,197.804413,3255569,66.46
04-03-2016,204.337555,204.618805,200.662552,201.356293,195.708679,4266734,66.46
08-03-2016,201.637543,203.812546,200.325043,203.043793,197.348831,4138662,66.46
09-03-2016,203.250046,203.250046,199.968796,201.806305,196.146042,5298593,66.46
10-03-2016,202.143799,202.462555,199.762543,200.943802,195.307724,3232425,66.46
11-03-2016,200.925049,202.425049,200.887543,202.125046,196.455856,2981601,66.46
14-03-2016,203.625046,203.625046,201.187546,202.818802,197.130127,2776303,66.46
15-03-2016,203.062546,203.625046,198.150055,199.950043,194.341858,5192433,66.46
16-03-2016,200.662552,202.687546,198.768799,201.918793,196.255356,5035822,66.46
17-03-2016,203.100052,203.981293,200.850052,202.200043,196.528732,4919737,66.46
18-03-2016,202.706299,207.675049,202.687546,206.718796,200.920746,6756291,66.46
21-03-2016,207.900055,210.900055,203.175049,208.668808,202.816071,2945937,66.46
22-03-2016,208.687546,208.725052,206.662552,207.318802,201.503922,3952711,66.46
23-03-2016,206.287552,209.700058,204.675049,208.406296,202.560883,3846689,66.46
28-03-2016,209.456299,211.350052,205.987549,208.556305,202.706711,3887988,66.46
29-03-2016,208.875046,209.625046,205.500046,207.431305,201.613251,4009166,66.46
30-03-2016,207.262558,211.368805,206.718796,210.731308,204.820724,3941732,66.46
31-03-2016,210.693802,213.750046,208.950058,211.593796,205.659012,10335760,66.46
01-04-2016,212.625046,214.687546,208.950058,210.806305,204.8936,3677708,66.46
04-04-2016,212.587555,214.162552,211.181305,212.343796,206.38797,1859562,66.46
05-04-2016,212.343796,212.475052,208.968796,209.625046,203.745499,2197711,66.46
06-04-2016,210.000046,210.750046,207.281296,209.325058,203.453903,2904396,66.46
07-04-2016,209.250046,210.000046,206.381302,206.925049,201.121216,1623250,66.46
08-04-2016,205.500046,206.775055,204.937546,206.081299,200.301132,2508071,66.46
11-04-2016,205.875046,213.225052,203.325043,212.156296,206.205734,2974761,66.46
12-04-2016,211.987549,214.406296,210.412552,213.581299,207.590759,2246943,66.46
13-04-2016,218.625061,221.962555,217.706299,219.337555,213.185562,5337497,66.46
18-04-2016,220.875061,222.937561,217.575058,220.725052,214.534149,6552662,66.46
20-04-2016,224.250061,227.625061,221.100052,225.468811,219.144882,12517111,66.46
21-04-2016,213.750046,215.868805,208.818802,209.568802,203.690826,15488457,66.46
22-04-2016,210.000046,210.993805,208.162552,209.231308,203.362793,5746342,66.46
25-04-2016,209.287552,210.656296,206.662552,207.168808,201.358139,4575662,66.46
26-04-2016,207.150055,209.250046,206.325058,207.918808,202.087082,4828750,66.46
27-04-2016,207.093796,210.468796,207.093796,210.000046,204.10994,2395055,66.46
28-04-2016,209.812546,211.500046,206.625046,207.412552,201.595047,7252912,66.46
29-04-2016,208.125046,208.800049,205.631302,207.881302,202.050644,3415143,66.46
02-05-2016,206.625046,207.356308,204.487549,205.687546,199.918427,2648204,66.46
03-05-2016,205.875046,206.156296,202.143799,203.943802,198.223587,4605201,66.46
04-05-2016,203.437546,203.775055,201.375046,202.500046,196.820328,3498556,66.46
05-05-2016,202.125046,204.487549,201.375046,203.662552,197.950226,2912359,66.46
06-05-2016,205.012558,205.012558,199.350052,199.912552,194.305405,3435209,66.46
09-05-2016,199.856293,202.537552,199.312546,202.125046,196.455856,2678079,66.46
10-05-2016,202.031296,203.287552,200.418793,201.993805,196.328293,2605756,66.46
11-05-2016,200.400055,202.293793,199.912552,201.675049,196.018463,1929727,66.46
12-05-2016,201.750046,203.718796,200.887543,203.362549,197.65863,2664090,66.46
13-05-2016,203.512543,203.512543,201.375046,202.368805,196.69278,2264258,66.46
16-05-2016,202.762543,203.812546,201.075043,202.800049,197.111923,3112831,66.46
17-05-2016,203.250046,203.400055,201.768799,202.556305,196.875,3404604,66.46
18-05-2016,202.087555,202.818802,200.625046,202.331299,196.656342,3810564,66.46
19-05-2016,202.500046,203.981293,201.468796,203.606293,197.895538,3342631,66.46
20-05-2016,203.775055,205.481308,203.437546,203.775055,198.05957,2353255,66.46
23-05-2016,204.000046,204.168808,201.862549,202.443802,196.765671,2437844,66.46
24-05-2016,202.443802,202.650055,200.831299,201.618805,195.963776,2643103,66.46
25-05-2016,202.500046,205.106308,202.125046,204.787552,199.04364,3320537,66.46
26-05-2016,204.787552,205.800049,203.625046,204.356308,198.624512,3293281,66.46
27-05-2016,203.681305,206.625046,203.625046,204.525055,198.788528,3230340,66.46
30-05-2016,205.200058,207.187546,204.168808,206.306305,200.519836,2853321,66.46
31-05-2016,206.625046,207.000046,203.756302,204.543808,198.806763,5520235,66.46
01-06-2016,204.600052,208.425049,204.600052,207.937546,202.105301,2726495,66.46
02-06-2016,208.500046,209.606308,200.418793,202.650055,196.966125,6881376,66.46
03-06-2016,203.062546,203.812546,202.125046,202.800049,197.111923,3544281,66.46
06-06-2016,202.875046,203.212555,200.025055,200.662552,195.034363,5152102,66.46
07-06-2016,202.500046,202.931305,201.450043,202.443802,196.765671,5156929,66.46
08-06-2016,202.875046,204.393799,202.500046,204.225052,198.496948,4064590,66.46
09-06-2016,205.162552,205.162552,203.325043,204.300049,198.569855,4715044,66.46
10-06-2016,204.187546,205.181305,203.625046,204.506302,198.770309,3179591,66.46
13-06-2016,202.725052,204.262558,202.068802,202.950043,197.257706,1740188,66.46
14-06-2016,202.950043,204.000046,202.500046,203.662552,197.950226,2801223,66.46
15-06-2016,204.675049,205.406296,203.362549,205.143799,199.389938,1131615,66.46
16-06-2016,204.637558,206.625046,203.081299,206.212555,200.428711,1840994,66.46
17-06-2016,206.737549,207.750046,205.875046,207.018799,201.212357,4306902,66.46
20-06-2016,206.250046,209.568802,204.412552,208.893799,203.034729,3704615,66.46
21-06-2016,209.137558,211.068802,207.525055,210.375046,204.474457,2638516,66.46
22-06-2016,210.768799,211.500046,209.812546,211.181305,205.258087,3695793,66.46
